Disziplin 	Männer 	Frauen
a 	b 	c 	a 	b 	c
60 m (Halle) 	58.015 	11.5 	1.81 	46.0849 	13 	1.81
100 m 	25.4347 	18 	1.81 	17.857 	21 	1.81
200 m 	5.8425 	38 	1.81 	4.99087 	42.5 	1.81
400 m 	1.53775 	82 	1.81 	1.34285 	91.7 	1.81
800 m 	- 	- 	- 	0.11193 	254 	1.88
1000 m 	0.08713 	305.5 	1.85 	- 	- 	-
1500 m 	0.03768 	480 	1.85 	0.02883 	535 	1.88
60 m Hürden (Halle) 	20.5173 	15.5 	1.92 	20.0479 	17 	1.835
100 m Hürden 	- 	- 	- 	9.23076 	26.7 	1.835
110 m Hürden 	5.74352 	28.5 	1.92 	- 	- 	-
Weitsprung 	0.14354 	220 	1.40 	0.188807 	210 	1.41
Hochsprung 	0.8465 	75 	1.42 	1.84523 	75 	1.348
Stabhochsprung 	0.2797 	100 	1.35 	0.44125 	100 	1.35
Kugelstoß 	51.39 	1.5 	1.05 	56.0211 	1.5 	1.05
Diskuswurf 	12.91 	4 	1.10 	12.3311 	3 	1.10
Speerwurf 	10.14 	7 	1.08 	15.9803 	3.8 	1.04
